user_id,snapshot_date,days_since_last_purchase,purchases_last_30d,avg_order_value,category,remaining_budget_pct,coupon_offered,order_placed,order_profit
7810,2025-04-09,6,3,59.39,electronics,0.67,5,0,0.0
1379,2025-06-10,15,1,63.99,beauty,0.23,none,0,0.0
3046,2025-05-30,20,2,67.97,home,0.93,20,0,0.0
1456,2025-05-10,2,2,41.33,electronics,0.41,5,0,0.0
4444,2025-05-10,4,6,53.27,grocery,0.58,10,0,0.0
3054,2025-06-18,13,2,51.89,electronics,0.68,5,0,0.0
8171,2025-04-08,28,5,36.41,home,0.95,20,1,13.27
7666,2025-06-03,2,2,10.0,electronics,0.19,none,0,0.0
8849,2025-04-19,5,4,68.01,fashion,0.88,none,0,0.0
4133,2025-04-09,8,2,54.63,beauty,0.16,none,0,0.0
5313,2025-05-18,14,2,88.42,grocery,0.2,5,0,0.0
8596,2025-06-28,2,4,105.09,fashion,0.09,none,0,0.0
7130,2025-06-06,3,1,83.6,home,0.44,none,0,0.0
9492,2025-06-09,3,1,70.74,beauty,0.43,10,0,0.0
9809,2025-06-05,14,5,77.29,home,0.13,none,1,17.66
755,2025-06-11,28,0,39.41,electronics,0.65,none,0,0.0
2351,2025-05-17,2,3,81.47,electronics,0.61,10,1,21.43
7109,2025-04-12,13,0,46.22,beauty,0.06,none,0,0.0
984,2025-06-16,21,1,66.31,electronics,0.36,none,0,0.0
853,2025-05-11,3,1,38.54,beauty,0.89,20,1,14.88
1376,2025-05-16,3,2,81.83,beauty,0.69,20,1,29.59
718,2025-05-04,16,2,94.74,fashion,0.83,20,0,0.0
6657,2025-04-17,6,3,54.16,fashion,0.14,none,0,0.0
2758,2025-06-24,17,4,60.18,grocery,0.63,20,0,0.0
9427,2025-06-11,31,0,72.74,fashion,0.16,5,0,0.0
1017,2025-05-29,2,7,35.72,sports,0.37,none,0,0.0
4564,2025-05-07,3,3,49.77,grocery,0.52,20,0,0.0
6630,2025-06-14,31,3,69.04,beauty,0.45,none,1,21.85
3603,2025-05-20,10,5,45.96,home,0.19,none,0,0.0
7162,2025-05-11,31,5,63.35,home,0.45,none,0,0.0
8405,2025-05-11,4,4,28.37,electronics,0.84,10,0,0.0
6393,2025-04-21,4,3,29.91,fashion,0.91,none,0,0.0
6068,2025-04-09,1,1,42.1,sports,0.44,5,0,0.0
5754,2025-05-21,1,4,42.32,sports,0.74,5,1,10.31
9936,2025-06-20,26,1,53.87,beauty,0.56,20,1,14.38
7813,2025-04-06,6,4,61.33,home,0.05,10,0,0.0
602,2025-06-18,11,3,61.53,beauty,0.58,none,0,0.0
7726,2025-06-15,15,1,58.25,sports,0.7,10,0,0.0
1650,2025-04-26,9,2,72.75,beauty,0.33,20,0,0.0
8703,2025-05-28,3,6,72.15,home,0.37,none,0,0.0
3245,2025-04-16,1,2,60.45,home,0.31,10,1,16.01
6932,2025-06-08,10,4,50.48,electronics,0.21,5,0,0.0
7388,2025-06-03,2,7,43.56,sports,0.17,none,0,0.0
3559,2025-05-03,11,2,74.41,grocery,0.57,10,0,0.0
9635,2025-04-07,1,4,77.76,sports,0.61,20,1,25.32
5247,2025-06-28,0,0,73.14,home,0.94,5,1,20.09
4228,2025-05-11,12,2,99.91,sports,0.65,10,0,0.0
4907,2025-06-21,9,3,38.76,electronics,0.61,20,0,0.0
3079,2025-06-01,17,1,57.98,electronics,0.84,10,0,0.0
1079,2025-06-10,4,5,37.64,sports,0.8,none,0,0.0
9817,2025-06-09,34,1,59.97,beauty,0.02,none,0,0.0
8118,2025-04-18,4,2,62.91,sports,0.25,none,0,0.0
8143,2025-05-04,37,1,56.25,sports,0.56,none,0,0.0
9129,2025-05-13,1,2,74.99,beauty,0.7,none,0,0.0
6121,2025-05-16,4,3,111.64,beauty,0.57,5,0,0.0
9845,2025-04-04,0,3,56.56,electronics,0.97,10,0,0.0
9853,2025-05-20,13,3,49.88,beauty,0.52,none,0,0.0
2480,2025-04-15,17,3,69.92,beauty,0.25,20,1,25.16
4406,2025-06-07,13,2,70.38,grocery,0.89,5,0,0.0
957,2025-06-02,0,3,54.97,fashion,0.28,none,0,0.0
7023,2025-06-23,16,4,32.57,home,0.11,none,1,17.1
1111,2025-06-07,6,3,80.82,electronics,0.54,10,0,0.0
